adduser|3.115
libssl1.0.2|1.0.2r-1~deb9u1
libssl1.1|1.1.0j-1~deb9u1
libstartup-notification0|0.12-4+b2
libstdc++-6-dev|6.3.0-18+deb9u1
libstdc++6|6.3.0-18+deb9u1
libswresample2|10:3.3.9-dmo1+deb9u1
libswscale4|10:3.3.9-dmo1+deb9u1
libsystemd0|232-25+deb9u11
libtasn1-6|4.10-1.1+deb9u1
libtbb2|4.3~20150611-2
libtcl8.6|8.6.6+dfsg-1+b1
libtdb1|1.3.11-2
libtesseract-data|3.04.01-5
libtesseract3|3.04.01-5
libtext-charwidth-perl|0.04-7+b5
libtext-iconv-perl|1.7-5+b4
libtext-wrapi18n-perl|0.06-7.1
libthai-data|0.1.26-1
libthai0|0.1.26-1
libtheora0|1.1.1+dfsg.1-14+b1
libthunarx-2-0|1.6.11-1
libtiff5|4.0.8-2+deb9u4
libtinfo5|6.0+20161126-1+deb9u2
libtinyxml2.6.2v5|2.6.2-4
libtsan0|6.3.0-18+deb9u1
libubsan0|6.3.0-18+deb9u1
libuchardet0|0.0.1-1+b2
libudev1|232-25+deb9u11
libudisks2-0|2.1.8-1
libunistring0|0.9.6+really0.9.3-0.1
libusb-1.0-0|2:1.0.21-1
libustr-1.0-1|1.0.4-6
libuuid1|2.29.2-1+deb9u1
libuutil1linux|0.7.12-1~bpo9+1
libv4l-0|1.12.3-1
libv4lconvert0|1.12.3-1
libva-drm1|1.7.3-2
libva-wayland1|1.7.3-2
libva-x11-1|1.7.3-2
libva1|1.7.3-2
libvdpau1|1.1.1-6
libvidstab1.0|2:0.98b-dmo1+deb8u1
libvo-amrwbenc0|0.1.3-1
libvorbis0a|1.3.5-4+deb9u2
libvorbisenc2|1.3.5-4+deb9u2
libvorbisfile3|1.3.5-4+deb9u2
libvpx4|1.6.1-3+deb9u1
libvte-2.91-0|0.46.1-1
libvte-2.91-common|0.46.1-1
libwacom-common|0.22-1
libwacom2|0.22-1+b1
libwayland-client0|1.12.0-1+deb9u1
libwayland-cursor0|1.12.0-1+deb9u1
libwayland-egl1-mesa|13.0.6-1+b2
libwayland-server0|1.12.0-1+deb9u1
libwebkitgtk-3.0-0|2.4.11-3
libwebp6|0.5.2-1
libwireshark-data|2.6.7-1~deb9u1
libwireshark11|2.6.7-1~deb9u1
libwiretap8|2.6.7-1~deb9u1
libwrap0|7.6.q-26
libwscodecs2|2.6.7-1~deb9u1
libwsutil9|2.6.7-1~deb9u1
libx11-6|2:1.6.4-3+deb9u1
libx11-data|2:1.6.4-3+deb9u1
libx11-xcb1|2:1.6.4-3+deb9u1
libx264-150|3:0.150.2833+gitdf79067-dmo1
libx265-116|1:2.4-dmo1
libxapian30|1.4.3-2+deb9u3
libxatracker2|13.0.6-1+b2
libxau6|1:1.0.8-1
libxaw7|2:1.0.13-1+b2
libxcb-dri2-0|1.12-1
libxcb-dri3-0|1.12-1
libxcb-glx0|1.12-1
libxcb-icccm4|0.4.1-1
libxcb-image0|0.4.0-1+b2
libxcb-keysyms1|0.4.0-1+b2
libxcb-present0|1.12-1
libxcb-randr0|1.12-1
libxcb-render-util0|0.3.9-1
libxcb-render0|1.12-1
libxcb-shape0|1.12-1
libxcb-shm0|1.12-1
libxcb-sync1|1.12-1
libxcb-util0|0.3.8-3+b2
libxcb-xfixes0|1.12-1
libxcb-xinerama0|1.12-1
libxcb-xkb1|1.12-1
libxcb1|1.12-1
libxcomposite1|1:0.4.4-2
libxcursor1|1:1.1.14-1+deb9u2
libxdamage1|1:1.1.4-2+b3
libxdg-basedir1|1.2.0-1
libxdmcp6|1:1.1.2-3
libxdo3|1:3.20160805.1-3
libxdot4|2.38.0-17
libxext6|2:1.3.3-1+b2
libxfce4ui-1-0|4.12.1-2
libxfce4ui-2-0|4.12.1-2
libxfce4ui-common|4.12.1-2
libxfce4util-common|4.12.1-3
libxfce4util7|4.12.1-3
libxfconf-0-2|4.12.1-1
libxfixes3|1:5.0.3-1
libxfont2|1:2.0.1-3+deb9u1
libxft2|2.3.2-1+b2
libxi6|2:1.7.9-1
libxinerama1|2:1.1.3-1+b3
libxkbcommon-x11-0|0.7.1-2~deb9u1
libxkbcommon0|0.7.1-2~deb9u1
libxkbfile1|1:1.0.9-2
libxml2|2.9.4+dfsg1-2.2+deb9u2
libxmu6|2:1.1.2-2
libxmuu1|2:1.1.2-2
libxpm4|1:3.5.12-1
libxrandr2|2:1.5.1-1
libxrender1|1:0.9.10-1
libxshmfence1|1.2-1+b2
libxslt1.1|1.1.29-2.1
libxss1|1:1.2.2-1
libxt6|1:1.1.5-1
libxtables12|1.6.0+snapshot20161117-6
libxtst6|2:1.2.3-1
libxv1|2:1.0.11-1
libxvidcore4|3:1.3.4-dmo1
libxxf86dga1|2:1.1.4-1+b3
libxxf86vm1|1:1.1.4-1+b2
libyaml-0-2|0.1.7-2
libyaml-cpp0.3v5|0.3.0-1.2
libzfs2linux|0.7.12-1~bpo9+1
libzip4|1.1.2-1.1+b1
libzpool2linux|0.7.12-1~bpo9+1
libzstd1|1.1.2-1
libzvbi-common|0.2.35-13
libzvbi0|0.2.35-13
linux-base|4.5
linux-compiler-gcc-6-x86|4.19.28-2~bpo9+1
linux-headers-4.19.0-0.bpo.4-amd64|4.19.28-2~bpo9+1
linux-headers-4.19.0-0.bpo.4-common|4.19.28-2~bpo9+1
linux-headers-amd64|4.19+104~bpo9+1
linux-image-4.19.0-0.bpo.4-amd64|4.19.28-2~bpo9+1
linux-image-amd64|4.19+104~bpo9+1
linux-kbuild-4.19|4.19.28-2~bpo9+1
linux-libc-dev|4.9.168-1+deb9u2
live-boot|1:20180603~bpo9+1
live-boot-initramfs-tools|1:20180603~bpo9+1
localepurge|0.7.3.4
locales|2.24-11+deb9u4
locate|4.6.0+git+20161106-2
login|1:4.4-4.1
logrotate|3.11.0-0.1
lsb-base|9.20161125
lsb-release|9.20161125
lsof|4.89+dfsg-0.1
lxrandr|0.3.1-1
macchanger|1.7.0-5.3+b1
make|4.1-9.1
mariadb-client-10.3|1:10.3.15+maria~stretch
mariadb-client-core-10.3|1:10.3.15+maria~stretch
mariadb-common|1:10.3.15+maria~stretch
