home; inst-std-system-xtra-gsimplecal.sh; 2019-01-02_19.20.40; 3953032; 144; 00:00:00:02
home; inst-std-system-xtra-hardinfo.sh; 2019-01-02_19.20.40; 3953972; 940; 00:00:00:04
home; inst-std-system-xtra-tz-montreal.sh; 2019-01-02_19.20.40; 3953976; 4; 00:00:00:01
home; inst-std-xtra-blender.sh; 2019-01-02_19.20.40; 4289372; 335396; 00:00:00:54
home; inst-xtra-docker-ce.sh; 2019-01-02_19.20.40; 4295748; 6376; 00:00:00:13
home; inst-xtra-eclipse-libwebkitgtk-3.0-0.sh; 2019-01-02_19.20.40; 4356036; 60288; 00:00:00:18
home; inst-xtra-freecad.sh; 2019-01-02_19.20.40; 4791336; 435300; 00:00:02:16
home; inst-xtra-games-openttd.sh; 2019-01-02_19.20.40; 4844128; 52792; 00:00:00:12
home; inst-xtra-open-terminals-on-startup.sh; 2019-01-02_19.20.40; 4844152; 24; 00:00:00:01
home; inst-xtra-zfs-dkms.sh; 2019-01-02_19.20.40; 5130864; 286712; 00:00:15:03
home; inst-zclean-01-apt-get-00-clean-up.sh; 2019-01-02_19.20.40; 4249856; -881008; 00:00:00:01
home; inst-zclean-01-apt-get-01-source-list.sh; 2019-01-02_19.20.40; 4249864; 8; 00:00:00:01
home; inst-zclean-02-remove-block-services.sh; 2019-01-02_19.20.40; 4249864; 0; 00:00:00:01
home; inst-zclean-03-default-filemanager.sh; 2019-01-02_19.20.40; 4249868; 4; 00:00:00:01
home; inst-zclean-04-chmod-script.sh; 2019-01-02_19.20.40; 4249876; 8; 00:00:00:01
home; inst-zclean-98-zerosizing.sh; 2019-01-02_19.20.40; 4134892; -114984; 00:00:00:22
home; inst-zclean-99-end-cleanup.sh; 2019-01-02_19.20.40; 4134892; 0; 00:00:00:01
work_no_proxy; main.sh; 2019-01-02_20.54.15; 1000924; 1000924; 00:00:00:00
work_no_proxy; inst-min-con-00-apt-custom-repository.sh; 2019-01-02_20.54.15; 1004912; 3988; 00:00:00:05
work_no_proxy; inst-min-con-00-linux-image.sh; 2019-01-02_20.54.15; 1348264; 343352; 00:00:01:44
work_no_proxy; inst-min-con-01-apt-transport-https.sh; 2019-01-02_20.54.15; 1358752; 10488; 00:00:00:21
work_no_proxy; inst-min-con-01-apt.sh; 2019-01-02_20.54.15; 1358768; 16; 00:00:00:00
work_no_proxy; inst-min-con-01-debconf-utils.sh; 2019-01-02_20.54.15; 1358976; 208; 00:00:00:02
work_no_proxy; inst-min-con-02-locale.sh; 2019-01-02_20.54.15; 1379156; 20180; 00:00:00:14
work_no_proxy; inst-min-con-02-localepurge.sh; 2019-01-02_20.54.15; 1379900; 744; 00:00:00:04
work_no_proxy; inst-min-con-03-systemd-hooks.sh; 2019-01-02_20.54.15; 1379976; 76; 00:00:00:00
work_no_proxy; inst-min-con-04-block-services-start-postinstall.sh; 2019-01-02_20.54.15; 1379984; 8; 00:00:00:00
work_no_proxy; inst-min-con-auto-log-root.sh; 2019-01-02_20.54.15; 1380000; 16; 00:00:00:01
work_no_proxy; inst-min-con-cld-bashrc.sh; 2019-01-02_20.54.15; 1380032; 32; 00:00:00:00
work_no_proxy; inst-min-con-cld-bin.sh; 2019-01-02_20.54.15; 1380044; 12; 00:00:00:01
work_no_proxy; inst-min-con-cld-dev-tools-debootstrap.sh; 2019-01-02_20.54.15; 1380412; 368; 00:00:00:01
work_no_proxy; inst-min-con-cld-tools.sh; 2019-01-02_20.54.15; 1381748; 1336; 00:00:00:02
work_no_proxy; inst-min-con-compressors.sh; 2019-01-02_20.54.15; 1386280; 4532; 00:00:00:09
work_no_proxy; inst-min-con-dircolors.sh; 2019-01-02_20.54.15; 1386304; 24; 00:00:00:00
work_no_proxy; inst-min-con-filesystem-dosfstools.sh; 2019-01-02_20.54.15; 1386660; 356; 00:00:00:07
work_no_proxy; inst-min-con-filesystem-exfat.sh; 2019-01-02_20.54.15; 1387812; 1152; 00:00:00:27
work_no_proxy; inst-min-con-filesystem-hfsprogs.sh; 2019-01-02_20.54.15; 1388276; 464; 00:00:00:02
work_no_proxy; inst-min-con-filesystem-ntfs-3g.sh; 2019-01-02_20.54.15; 1390880; 2604; 00:00:00:27
work_no_proxy; inst-min-con-firmware-cpu.sh; 2019-01-02_20.54.15; 1395792; 4912; 00:00:00:31
work_no_proxy; inst-min-con-firmware-net-b43-installer.sh; 2019-01-02_20.54.15; 1433520; 37728; 00:00:00:06
work_no_proxy; inst-min-con-firmware.sh; 2019-01-02_20.54.15; 1598960; 165440; 00:00:01:49
work_no_proxy; inst-min-con-live-build-tools.sh; 2019-01-02_20.54.15; 1603420; 4460; 00:00:00:10
work_no_proxy; inst-min-con-mtp-jmtpfs.sh; 2019-01-02_20.54.15; 1612224; 8804; 00:00:00:06
work_no_proxy; inst-min-con-net-tools.sh; 2019-01-02_20.54.15; 1613092; 868; 00:00:00:02
work_no_proxy; inst-min-con-ntp.sh; 2019-01-02_20.54.15; 1616232; 3140; 00:00:00:07
work_no_proxy; inst-min-con-numlock.sh; 2019-01-02_20.54.15; 1623072; 6840; 00:00:00:12
work_no_proxy; inst-min-con-pciutils.sh; 2019-01-02_20.54.15; 1624796; 1724; 00:00:00:03
work_no_proxy; inst-min-con-rename.sh; 2019-01-02_20.54.15; 1675444; 50648; 00:00:00:36
work_no_proxy; inst-min-con-snd-alsa.sh; 2019-01-02_20.54.15; 1687352; 11908; 00:00:00:10
work_no_proxy; inst-min-con-udevil.sh; 2019-01-02_20.54.15; 1695388; 8036; 00:00:00:03
work_no_proxy; inst-min-con-users-poweruser.sh; 2019-01-02_20.54.15; 1695424; 36; 00:00:00:02
work_no_proxy; inst-min-con-xtra-apache2.sh; 2019-01-02_20.54.15; 1747004; 51580; 00:00:00:30
work_no_proxy; inst-min-con-xtra-buffer-pv.sh; 2019-01-02_20.54.15; 1747168; 164; 00:00:00:02
work_no_proxy; inst-min-con-xtra-buffer.sh; 2019-01-02_20.54.15; 1747256; 88; 00:00:00:01
work_no_proxy; inst-min-con-xtra-cld-dev-tools-aptly.sh; 2019-01-02_20.54.15; 1781424; 34168; 00:00:00:22
